维度Key,维度名称,字段类型,说明,选项列表
gender,性别,single,原始字段,"男,女"
birth_year,出生年份,single,原始字段（问卷下拉选项）,"2012年,2011年,...(共44个选项)"
age_group,年龄段,derived,由出生年份计算：under18/18-24/25-29/30-34/35-39/40-44/45+,"18岁以下(under18),18-24岁(18-24),25-29岁(25-29),30-34岁(30-34),35-39岁(35-39),40-44岁(40-44),45岁及以上(45+)"
education,最高学历,single,原始字段,"初中及以下,高中/中专/技校,大学专科,大学本科,硕士及以上"
province,省份,single,原始字段（问卷下拉选项，对应REGIONS省列表）,省/直辖市/自治区/特别行政区（共36个）
city,城市,single,原始字段（问卷下拉选项，随省份联动）,城市列表（随省份变化，共390+个城市）
city_tier,城市级别,derived,由城市查cityTierMap表计算：tier1/tier2/tier3/tier4/tier5/other,"一线城市(tier1),二线城市(tier2),三线城市(tier3),四线城市(tier4),五线城市(tier5),其他(other)"
occupation,职业,single,原始字段,"在校学生,政府/机关干部/公务员,企业管理者,普通职员,专业人员,普通工人,商业服务业职工,个体经营者/承包商,自由职业者,农林牧渔劳动者,退休,暂无职业,其他"
industry,从事行业,single,原始字段,"IT/通信/电子/互联网,金融业,房地产/建筑业,商业服务,贸易/批发/零售/租赁业,文体教育/工艺美术,生产/加工/制造,交通/运输/物流/仓储,服务业,文化/传媒/娱乐/体育,能源/矿产/环保,政府/非盈利机构,农/林/牧/渔/其他,其他"
income,个人月收入,single,原始字段,"500元以下,500-1000元,1001-1500元,1501-2000元,2001-3000元,3001-5000元,5001-8000元,8001-10000元,10001-20000元,20000元以上"
phone,手机号,single,原始字段（可选，来源：后续问卷收集后填充，注册问卷中暂无此字段）,11位手机号码
